"Laptop_name","Score","Comment","Reasosns","Description","Byers","Price","Sypply"
"Ноутбук Lenovo V130 15",4.5,8,"Покупателям нравится долгое время работы, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: Intel HD Graphics 620Вес: 1.8 кг4G LTE: нетBluetooth: есть",304,16045,427
"Ноутбук ASUS E406SA",4.5,NA,"Покупателям нравится долгое время работы, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: CeleronЧастота процессора: 1600 МГцОбъем жесткого диска: 64 ГБДиагональ экрана: 14 ""Видеокарта: Intel HD Graphics 400",183,12969,50
"Ноутбук ASUS ZenBook 15 UX533FD",4,3,"Покупателям нравится экран, мощный процессорХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i7Частота процессора: 1800 МГцОбъем жесткого диска: 1024 ГБДиагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce GTX 1050",452,68985,43
"Ноутбук ASUS VivoBook 14 X405UA",4.5,2,"Покупателям нравится небольшой вес, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i3Частота процессора: 2000 МГцОбъем жесткого диска: 256 ГБДиагональ экрана: 14 ""Видеокарта: Intel HD Graphics 520",390,24766,91
"Ноутбук DELL INSPIRON 5370",5,3,"Покупателям нравится экран, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 13.3 ""Видеокарта: Intel HD Graphics 620Вес: 1.4 кгОптический привод: DVD нет4G LTE: нет",186,31588,112
"Ноутбук Lenovo Ideapad 330s 15",4.5,15,"Покупателям нравится небольшой вес, экранХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: AMD Radeon R4Вес: 1.87 кгОптический привод: DVD нет4G LTE: нет",679,25070,620
"Ноутбук Xiaomi Mi Notebook 15.6 Lite",4.5,2,"Покупателям нравится долгое время работы, экранХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: Intel UHD Graphics 620Вес: 2.18 кгОптический привод: DVD нет4G LTE: нет",388,35300,25
"Ноутбук Xiaomi Mi Notebook Pro 15.6",4.5,71,"Покупателям нравится мощный процессор, долгое время работыХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Объем жесткого диска: 256 ГБДиагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce MX150Вес: 1.95 кгОптический привод: DVD нет",1033,64890,16
"Ноутбук ASUS VivoBook S15 S510UN",4.5,29,"Покупателям нравится небольшой вес, экранХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce MX150Вес: 1.5 кгОптический привод: DVD нет4G LTE: нет",711,33388,160
"Ноутбук Xiaomi Mi Gaming Laptop",5,7,"Покупателям нравится мощный процессор, экранХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce GTX 1060Вес: 2.7 кгОптический привод: DVD нет4G LTE: нет",519,68990,13
"Ноутбук Lenovo Ideapad 330 15 Intel",4.5,21,"Покупателям нравится Качество сборки, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: Intel HD Graphics 520Вес: 2.2 кгОптический привод: DVD нет4G LTE: нет",1607,15331,977
"Ноутбук Acer ASPIRE 3 (A315-33)",5,1,"Покупателям нравится небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: CeleronЧастота процессора: 1600 МГцОбъем жесткого диска: 500 ГБДиагональ экрана: 15.6 ""Видеокарта: Intel HD Graphics 400",71,16500,52
"Ноутбук Lenovo V130 14",4,NA,"57 человек купили этот товарПо данным Яндекс.Маркета за 2 месяца.","Процессор: Core i5Частота процессора: 2500 МГцОбъем жесткого диска: 1000 ГБДиагональ экрана: 14 ""Видеокарта: Intel HD Graphics 520",NA,20222,85
"Ноутбук DELL INSPIRON 5770",4.5,25,"Покупателям нравится экран, мощный процессорХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 17.3 ""Видеокарта: ATI Mobility Radeon HD 530vВес: 2.79 кгОптический привод: DVD-RW4G LTE: нет",429,31153,345
"Ноутбук ASUS VivoBook S15 S510UF",5,5,"Покупателям нравится долгое время работы, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: Intel HD Graphics 620Вес: 1.5 кгОптический привод: DVD нет4G LTE: нет",113,34989,37
"Ноутбук ASUS TUF Gaming FX504GD",4.5,7,"Покупателям нравится мощный процессор, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce GTX 1050Вес: 2.3 кгОптический привод: DVD нет4G LTE: нет",424,51490,334
"Ноутбук Acer Extensa EX2519",4,18,"Покупателям нравится долгое время работы, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Частота процессора: 1600 МГцДиагональ экрана: 15.6 ""Видеокарта: Intel GMA HDВес: 2.4 кг4G LTE: нет",358,12921,622
"Ноутбук DELL Vostro 5581",NA,NA,"98 человек купили этот товарПо данным Яндекс.Маркета за 2 месяца.","Процессор: Core i5Частота процессора: 1600 МГцОбъем жесткого диска: 1128 ГБДиагональ экрана: 15.6 ""Видеокарта: Intel UHD Graphics 620",NA,34823,44
"Ноутбук ASUS VivoBook 15 X540NA",4,4,"Покупателям нравится небольшой вес, долгое время работыХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Частота процессора: 1100 МГцДиагональ экрана: 15.6 ""Видеокарта: Intel HD Graphics 520Вес: 2 кгОптический привод: DVD нет",420,13989,231
"Ноутбук Xiaomi Mi Notebook Air 13.3"" 2018",4.5,18,"Покупателям нравится мощный процессор, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 13.3 ""Видеокарта: NVIDIA GeForce MX150Вес: 1.3 кгОптический привод: DVD нет4G LTE: нет",1142,45300,33
"Ноутбук Lenovo Ideapad 530s 15",4.5,9,"Покупателям нравится Качество сборки, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce 940MXВес: 1.69 кгОптический привод: DVD нет4G LTE: нет",292,40985,299
"Ноутбук Acer ASPIRE 3 (A315-21)",4.5,8,"Покупателям нравится небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: AMD Radeon R2Вес: 2.1 кгОптический привод: DVD нет4G LTE: нет",393,14877,269
"Ноутбук DELL Vostro 5370",5,11,"Покупателям нравится небольшой вес, мощный процессорХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i5Частота процессора: 1600 МГцОбъем жесткого диска: 256 ГБДиагональ экрана: 13.3 ""Видеокарта: ATI Mobility Radeon HD 530v",128,39818,344
"Ноутбук DELL Vostro 5481",4.5,3,"Покупателям нравится долгое время работы, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i5Частота процессора: 1600 МГцОбъем жесткого диска: 1128 ГБДиагональ экрана: 14 ""Видеокарта: Intel UHD Graphics 620",67,37789,77
"Ноутбук Xiaomi Mi Notebook Air 12.5""",4.5,45,"Покупателям нравится долгое время работы, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 12.5 ""Видеокарта: Intel HD Graphics 515Вес: 1.07 кгОптический привод: DVD нет4G LTE: нет",403,39690,21
"Ноутбук Apple MacBook Air 13 with Retina display Late 2018",4.5,6,"Покупателям нравится Качество сборки, долгое время работыХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i5Частота процессора: 1600 МГцДиагональ экрана: 13.3 ""Видеокарта: Intel UHD Graphics 617Вес: 1.25 кг",869,78990,281
"Ноутбук Apple MacBook Air 13 Mid 2017",4.5,33,"Покупателям нравится Качество сборки, долгое время работыХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i5Диагональ экрана: 13.3 ""Видеокарта: Intel HD Graphics 6000Вес: 1.35 кгОптический привод: DVD нет",924,62190,148
"Ноутбук ASUS ZenBook 13 UX331UA",4.5,18,"Покупателям нравится небольшой вес, долгое время работыХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 13.3 ""Видеокарта: Intel HD Graphics 620Вес: 1.1 кгОптический привод: DVD нет4G LTE: нет",363,45438,133
"Ноутбук DELL G5 15 5587",4.5,19,"Покупателям нравится мощный процессор, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce GTX 1060Вес: 2.61 кгОптический привод: DVD нет4G LTE: нет",762,52488,695
"Ноутбук Acer ASPIRE 3 (A315-41)",5,2,"Покупателям нравится Качество сборки, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Ryzen 3Частота процессора: 2500 МГцОбъем жесткого диска: 1000 ГБДиагональ экрана: 15.6 ""Видеокарта: AMD Radeon Vega 8",55,23625,50
"Ноутбук Apple MacBook Pro 13 with Retina display Mid 2017",4.5,70,"Покупателям нравится небольшой вес, экранХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i5Диагональ экрана: 13.3 ""Видеокарта: Intel Iris Plus Graphics 640Вес: 1.37 кгОптический привод: DVD нет",772,83500,544
"Ноутбук Acer SWIFT 3 (SF314-54)",4.5,14,"Покупателям нравится экран, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 14 ""Видеокарта: Intel HD Graphics 620Вес: 1.45 кгОптический привод: DVD нет4G LTE: нет",233,36390,824
"Ноутбук DELL G3 17 3779",4.5,17,"Покупателям нравится мощный процессор, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 17.3 ""Видеокарта: NVIDIA GeForce GTX 1060Вес: 3.27 кгОптический привод: DVD нет4G LTE: нет",393,51590,670
"Ноутбук Lenovo ThinkPad L380",5,8,"Покупателям нравится Качество сборки, мощный процессорХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 13.3 ""Видеокарта: Intel HD Graphics 620Вес: 1.46 кгОптический привод: DVD нет4G LTE: нет",236,34989,268
"Ноутбук ASUS TUF Gaming FX705GM",4.5,4,"Покупателям нравится небольшой вес, мощный процессорХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 17.3 ""Видеокарта: NVIDIA GeForce GTX 1060Вес: 2.6 кгОптический привод: DVD нет4G LTE: нет",156,73811,305
"Ноутбук Acer ASPIRE 7 (A715-72G)",4.5,10,"Покупателям нравится мощный процессор, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: Core i5Частота процессора: 2300 МГцОбъем жесткого диска: 2128 ГБДиагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce GTX 1050 Ti",471,49990,118
"Ноутбук Acer TravelMate P2 (TMP2510-G2-MG)",4.5,7,"Покупателям нравится долгое время работы, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce MX130Вес: 2.1 кгОптический привод: DVD нет4G LTE: нет",116,29888,246
"Ноутбук Acer ASPIRE 3 (A315-51)",4,3,"Покупателям нравится Качество сборки, мощный процессорХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: Intel HD Graphics 520Вес: 2.1 кгОптический привод: DVD нет4G LTE: нет",162,22370,799
"Ноутбук DELL INSPIRON 3180",4.5,12,"Покупателям нравится небольшой вес, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: A6Диагональ экрана: 11.6 ""Видеокарта: AMD Radeon R4Вес: 1.46 кгОптический привод: DVD нет",131,17687,182
"Ноутбук Acer Spin 3 (SP314-51)",5,3,"Покупателям нравится долгое время работы, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 14 ""Видеокарта: Intel HD Graphics 520Вес: 1.7 кгОптический привод: DVD нет4G LTE: нет",63,35354,148
"Ноутбук Acer SWIFT 1 (SF113-31)",5,10,"Покупателям нравится Качество сборки, экранХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Процессор: PentiumЧастота процессора: 1100 МГцДиагональ экрана: 13.3 ""Видеокарта: Intel HD Graphics 505Вес: 1.3 кг",47,27140,9
"Ноутбук Acer TravelMate P2 (P259-MG)",4.5,39,"Покупателям нравится мощный процессор, Качество сборкиХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce 940MВес: 2.4 кг4G LTE: нетBluetooth: есть",324,27865,761
"Ноутбук ASUS ROG Strix SCAR II GL704GW",NA,NA,"83 человека купили этот товарПо данным Яндекс.Маркета за 2 месяца.","Процессор: Core i7Частота процессора: 2200 МГцОбъем жесткого диска: 1256 ГБДиагональ экрана: 17.3 ""Видеокарта: NVIDIA GeForce RTX 2070",NA,149690,29
"Ноутбук ASUS Zenbook UX310UA",4.5,21,"Покупателям нравится небольшой вес, долгое время работыХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 13.3 ""Видеокарта: Intel HD Graphics 520Вес: 1.45 кгОптический привод: DVD нет4G LTE: нет",215,37985,307
"Ноутбук Acer ASPIRE E 15 (E5-576G)",4.5,21,"Покупателям нравится мощный процессор, небольшой весХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 15.6 ""Видеокарта: NVIDIA GeForce 940MXВес: 2.23 кг4G LTE: нетBluetooth: есть",144,29990,324
"Ноутбук DELL INSPIRON 5575",5,1,"88 человек купили этот товарПо данным Яндекс.Маркета за 2 месяца.","Диагональ экрана: 15.6 ""Видеокарта: AMD Radeon Vega 8Вес: 2.22 кгОптический привод: DVD-RW4G LTE: нет",NA,30688,202
"Ноутбук ASUS VivoBook S13 S330UA",NA,NA,"59 человек купили этот товарПо данным Яндекс.Маркета за 2 месяца.","Процессор: Core i3Частота процессора: 2200 МГцОбъем жесткого диска: 128 ГБДиагональ экрана: 13.3 ""Видеокарта: Intel UHD Graphics 620",NA,34500,32
"Ноутбук Lenovo ThinkPad Edge E480",5,9,"Покупателям нравится Качество сборки, долгое время работыХарактеристики, которые покупатели отметили высокой оценкой в отзывах","Диагональ экрана: 14 ""Видеокарта: Intel HD Graphics 620Вес: 1.75 кгОптический привод: DVD нет4G LTE: нет",221,32987,433
